trip_id,date,time,transport_type,route_id,origin_station,destination_station,scheduled_departure,scheduled_arrival,actual_departure_delay_min,actual_arrival_delay_min,weather_condition,temperature_C,humidity_percent,wind_speed_kmh,precipitation_mm,event_type,event_attendance_est,traffic_congestion_index,holiday,peak_hour,weekday,season,delayed
T00001,2023-01-01,08:40:07,Bus,Route_7,Station_2,Station_12,13:30:29,14:50:43,8.8,40.9,Rain,32.3,38.1,51.8,22.2,Protest,5242,24,0,1,1,Winter,1
T00002,2023-01-01,06:01:47,Train,Route_5,Station_37,Station_18,15:13:59,15:23:09,6.2,42.7,Storm,28.0,38.3,10.3,8.0,None,0,55,0,0,4,Spring,1
T00003,2023-01-01,00:17:15,Metro,Route_11,Station_11,Station_44,13:21:59,14:07:31,0.4,0.7,Clear,34.0,63.3,52.1,0.8,None,0,17,0,0,0,Summer,0
T00004,2023-01-01,02:14:08,Tram,Route_14,Station_36,Station_6,18:47:46,18:39:31,1.7,32.4,Clear,37.6,38.0,51.6,0.4,None,0,74,0,0,5,Spring,1
T00005,2023-01-01,04:47:06,Tram,Route_6,Station_29,Station_6,12:54:59,12:03:20,8.6,42.0,Fog,20.4,38.2,37.5,1.1,Sports,4827,76,0,0,0,Winter,1
T00006,2023-01-01,02:43:47,Train,Route_16,Station_11,Station_16,21:08:10,21:44:26,-0.0,1.0,Cloudy,28.5,54.0,76.7,1.0,None,0,46,0,0,2,Autumn,0
T00007,2023-01-01,22:57:34,Bus,Route_13,Station_24,Station_31,17:33:45,17:24:00,15.3,15.4,Rain,17.1,83.1,21.7,21.9,Protest,22701,31,0,0,1,Winter,1
T00008,2023-01-01,00:05:37,Metro,Route_4,Station_2,Station_41,05:53:30,05:15:51,9.2,20.7,Fog,30.4,42.4,46.1,1.3,Protest,5494,90,0,0,1,Winter,1
T00009,2023-01-01,09:27:02,Bus,Route_19,Station_36,Station_29,08:00:20,09:26:06,5.6,20.5,Rain,19.2,40.1,10.4,17.9,Parade,9130,61,0,1,3,Spring,1
T00010,2023-01-01,23:01:05,Bus,Route_1,Station_16,Station_25,10:26:11,11:51:26,8.2,41.7,Clear,28.1,60.2,30.9,0.9,Sports,26661,76,0,0,1,Winter,1
T00011,2023-01-01,02:13:14,Metro,Route_14,Station_20,Station_44,08:09:30,08:53:08,-0.4,3.2,Cloudy,7.4,48.2,21.2,0.7,Concert,18621,10,0,0,1,Summer,0
T00012,2023-01-01,15:32:38,Train,Route_9,Station_8,Station_9,19:04:00,19:19:34,3.1,19.8,Snow,25.9,98.5,55.7,5.7,Protest,6882,68,1,0,2,Spring,1
T00013,2023-01-01,06:01:35,Metro,Route_14,Station_19,Station_46,05:19:44,05:27:01,3.0,-0.1,Cloudy,21.0,84.5,61.0,0.6,Festival,36838,14,0,0,3,Autumn,0
T00014,2023-01-01,07:12:45,Train,Route_16,Station_20,Station_16,19:12:12,19:28:00,5.1,25.4,Fog,6.2,51.3,68.7,0.1,Parade,6673,53,0,1,4,Winter,1
